version,program_version,seed,generator_seed_hex,n,directional,cleared,all_clear,virtual_time_s,average_clear_time_s,move_time_s,action_time_s,measure_count,channel_switch_count,clear_failure_count,census_count,wall_time_s,counts_match,time_accounting_match,code_unchanged_during_run,network_access,benchmark_sha256,simulator_sha256
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90038,a252b362ce449a7a93042cf8895c003f01c3a2ad1198e7cad38d2fe23a6d8b34,14,6,14,True,4892.894988,349.4924991428571,3665.894988,1227.0,187,177,15,18,1.5309999999990396,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90039,45ea132d3a99c33614ffbea80aa00721679279a262ebb96db8b41306d380dc41,16,15,16,True,6033.595056,377.099691,4358.595056,1675.0,234,221,68,22,1.5159999999996217,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90039,45ea132d3a99c33614ffbea80aa00721679279a262ebb96db8b41306d380dc41,16,15,16,True,6021.595056,376.349691,4358.595056,1663.0,232,219,68,22,1.514999999999418,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90040,2924a70e38c704a876e2283c33c483ba2ec32d292cf78e9d959c05c4d127bd06,12,4,12,True,4687.514026,390.62616883333334,3350.514026,1337.0,193,180,44,18,1.75,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90040,2924a70e38c704a876e2283c33c483ba2ec32d292cf78e9d959c05c4d127bd06,12,4,12,True,4669.514026,389.12616883333334,3350.514026,1319.0,190,177,44,18,1.8589999999967404,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90041,730a03286bfc561b6dd6abd46dd817eca5bcb10e330e42fb15a21ce7798dbf77,11,11,10,False,4779.150065,477.9150065,3164.150065,1615.0,250,240,25,18,1.7809999999990396,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90041,730a03286bfc561b6dd6abd46dd817eca5bcb10e330e42fb15a21ce7798dbf77,11,11,10,False,4755.150065,475.51500649999997,3164.150065,1591.0,246,236,25,18,1.7030000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90042,1d2a3c4b2487b0d3bae624e5c1b06716e4ffc2ea659c9b04c546359106f5b702,12,11,12,True,4597.249936,383.10416133333337,3366.249936,1231.0,183,175,27,16,1.8280000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90042,1d2a3c4b2487b0d3bae624e5c1b06716e4ffc2ea659c9b04c546359106f5b702,12,11,12,True,4597.249936,383.10416133333337,3366.249936,1231.0,183,175,27,16,1.8119999999980791,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90043,ec95ff408e05629b6cc245cdb9114817f015104fda32b44957ff950c23fb6a9d,16,13,16,True,4353.536241,272.0960150625,3059.536241,1294.0,188,178,32,19,1.5929999999971187,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
