version,program_version,seed,generator_seed_hex,n,directional,cleared,all_clear,virtual_time_s,average_clear_time_s,move_time_s,action_time_s,measure_count,channel_switch_count,clear_failure_count,census_count,wall_time_s,counts_match,time_accounting_match,code_unchanged_during_run,network_access,benchmark_sha256,simulator_sha256
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1006,66154f44c3c0713d51406e58bcb4c4b5e454de2897d535a586709912c7a54b59,14,2,14,True,3868.284165,276.3060117857143,2844.284165,1024.0,157,148,7,17,1.985000000000582,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1006,66154f44c3c0713d51406e58bcb4c4b5e454de2897d535a586709912c7a54b59,14,2,14,True,3865.306241,276.09330292857146,2844.306241,1021.0,156,147,8,17,1.985000000000582,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1006,66154f44c3c0713d51406e58bcb4c4b5e454de2897d535a586709912c7a54b59,14,2,14,True,3854.876012,275.34828657142856,2842.876012,1012.0,152,143,13,17,1.9680000000007567,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1007,2d2e44b2e0bf2c448ff932a2287183d10706c07281bfa3006644a61982a5f015,11,5,11,True,4705.495517,427.77231972727276,3101.495517,1604.0,255,244,10,19,1.8280000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1007,2d2e44b2e0bf2c448ff932a2287183d10706c07281bfa3006644a61982a5f015,11,5,11,True,4690.592182,426.41747109090915,3103.592182,1587.0,251,241,12,19,1.8439999999973224,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1007,2d2e44b2e0bf2c448ff932a2287183d10706c07281bfa3006644a61982a5f015,11,5,11,True,4686.159502,426.0145001818182,3110.159502,1576.0,249,240,12,19,1.8909999999996217,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1008,bc93e96d36c23696b2d00ad01f727f2108a19c1735505225fd0564c5933d191d,14,6,14,True,4912.546338,350.896167,3719.546338,1193.0,182,174,13,18,1.5320000000028813,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1008,bc93e96d36c23696b2d00ad01f727f2108a19c1735505225fd0564c5933d191d,14,6,14,True,4903.05574,350.21826714285714,3719.05574,1184.0,181,173,12,18,1.5310000000026776,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1008,bc93e96d36c23696b2d00ad01f727f2108a19c1735505225fd0564c5933d191d,14,6,14,True,4513.124371,322.3660265,3301.124371,1212.0,182,172,20,18,1.6089999999967404,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1010,2ce3bbb987e9724b3248d9c85a1f2dee1b7bd9beb32c85a1df68d7a521956dfb,15,12,15,True,5770.463754,384.69758360000003,4425.463754,1345.0,178,164,72,19,1.7969999999986612,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1010,2ce3bbb987e9724b3248d9c85a1f2dee1b7bd9beb32c85a1df68d7a521956dfb,15,12,15,True,5674.942227,378.3294818,4392.942227,1282.0,168,151,72,19,1.7969999999986612,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1010,2ce3bbb987e9724b3248d9c85a1f2dee1b7bd9beb32c85a1df68d7a521956dfb,15,12,15,True,5669.942227,377.9961484666666,4392.942227,1277.0,167,151,72,19,1.7970000000022992,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1011,49742deb7653f3a7174dcdb63a4503dba00f30f472b62c864247e469aaaae0d5,14,11,14,True,5457.019515,389.7871082142857,3944.019515,1513.0,224,212,37,21,1.7659999999996217,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1011,49742deb7653f3a7174dcdb63a4503dba00f30f472b62c864247e469aaaae0d5,14,11,14,True,5537.501215,395.5358010714286,4020.501215,1517.0,217,203,53,21,1.6560000000026776,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1011,49742deb7653f3a7174dcdb63a4503dba00f30f472b62c864247e469aaaae0d5,14,11,14,True,5519.67148,394.2622485714286,4020.67148,1499.0,214,200,53,21,1.8430000000007567,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1013,29de345465a1d88de74628fc8fbdcdd34033542543354644a030de902436c522,12,10,10,False,4876.044399,487.60443990000005,3273.044399,1603.0,245,229,33,19,1.7190000000009604,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1013,29de345465a1d88de74628fc8fbdcdd34033542543354644a030de902436c522,12,10,10,False,4869.044399,486.90443990000006,3273.044399,1596.0,244,227,33,19,1.7190000000009604,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1013,29de345465a1d88de74628fc8fbdcdd34033542543354644a030de902436c522,12,10,10,False,4858.942981,485.8942981,3272.942981,1586.0,242,227,33,19,1.7970000000022992,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1014,628ef7416312911dbe93b087e1fa8353bf6cbf205a0a9ecfd806598ed41eb99b,13,3,13,True,4455.766899,342.75129992307694,3200.766899,1255.0,191,181,18,17,1.8440000000009604,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1014,628ef7416312911dbe93b087e1fa8353bf6cbf205a0a9ecfd806598ed41eb99b,13,3,13,True,4403.844277,338.75725207692307,3196.844277,1207.0,183,170,19,17,1.8440000000009604,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1014,628ef7416312911dbe93b087e1fa8353bf6cbf205a0a9ecfd806598ed41eb99b,13,3,13,True,4403.844277,338.75725207692307,3196.844277,1207.0,183,170,19,17,1.875,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1015,d1030316333d920720281adeebd8b8ddbbdfc6258aa90566873435f631d1aa83,11,6,10,False,5228.608392,522.8608392,3677.608392,1551.0,246,232,13,18,1.75,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1015,d1030316333d920720281adeebd8b8ddbbdfc6258aa90566873435f631d1aa83,11,6,10,False,5193.323922,519.3323922,3677.323922,1516.0,240,227,13,18,1.7659999999996217,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1015,d1030316333d920720281adeebd8b8ddbbdfc6258aa90566873435f631d1aa83,11,6,10,False,5175.323922,517.5323922,3677.323922,1498.0,237,224,13,18,1.735000000000582,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1017,68373498fa152d2d4a911e80f82c369b29c88c1239554ec578bd780cfe3b3c89,11,1,11,True,5323.065277,483.9150251818182,3868.065277,1455.0,224,214,22,19,1.6560000000026776,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1017,68373498fa152d2d4a911e80f82c369b29c88c1239554ec578bd780cfe3b3c89,11,1,11,True,5248.585711,477.1441555454545,3828.585711,1420.0,218,206,23,19,1.875,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1017,68373498fa152d2d4a911e80f82c369b29c88c1239554ec578bd780cfe3b3c89,11,1,11,True,5237.2201,476.11091818181814,3828.2201,1409.0,216,202,24,19,1.8279999999977008,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1022,a791a5a33c7de217b380dea8f41ce919c14da8e184be9847661a5f15635ac902,12,7,12,True,4510.616794,375.8847328333333,2949.616794,1561.0,239,225,27,21,1.764999999999418,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1022,a791a5a33c7de217b380dea8f41ce919c14da8e184be9847661a5f15635ac902,12,7,12,True,4510.616794,375.8847328333333,2949.616794,1561.0,239,225,27,21,1.7810000000026776,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1022,a791a5a33c7de217b380dea8f41ce919c14da8e184be9847661a5f15635ac902,12,7,12,True,4487.934716,373.99455966666665,2961.934716,1526.0,232,219,29,21,1.7969999999986612,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1023,ef42f860fa498e72aa0cc83fbd8881a2fe359a4ca4875fab5b9b2f8612b1a68e,14,8,14,True,5415.51473,386.8224807142857,3923.51473,1492.0,228,213,23,20,1.8120000000017171,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1023,ef42f860fa498e72aa0cc83fbd8881a2fe359a4ca4875fab5b9b2f8612b1a68e,14,8,14,True,5404.51473,386.0367664285714,3923.51473,1481.0,226,212,23,20,1.8120000000017171,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1023,ef42f860fa498e72aa0cc83fbd8881a2fe359a4ca4875fab5b9b2f8612b1a68e,14,8,14,True,5399.257797,385.6612712142857,3924.257797,1475.0,225,211,23,20,1.7810000000026776,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,1024,d0f2cabe551457a8eef53042f6199c012fc1a16aecb484ba80983fe9c55b28fa,10,8,10,True,4985.136077,498.5136077,3354.136077,1631.0,257,245,17,17,1.625,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
