version,program_version,seed,generator_seed_hex,n,directional,cleared,all_clear,virtual_time_s,average_clear_time_s,move_time_s,action_time_s,measure_count,channel_switch_count,clear_failure_count,census_count,wall_time_s,counts_match,time_accounting_match,code_unchanged_during_run,network_access,benchmark_sha256,simulator_sha256
q4_iterations\repo_sync\q4\iterations\iter_076_high14_probe2_value_guard\workspace\code,v443-high14-probe2-value-guard,90073,02c4ce941b2b412622a230a06ed443908a20c8bea824076beb45bb5d92f42701,16,6,16,True,4149.256214,259.328513375,3276.256214,873.0,124,116,19,18,1.8280000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90074,5a3686a9694b8d8087600fb5da80209de63e678be2eae9295ee079cdfb26d69b,16,8,15,False,5130.80367,342.053578,3920.80367,1210.0,175,164,32,18,2.0780000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\repo_sync\q4\iterations\iter_076_high14_probe2_value_guard\workspace\code,v443-high14-probe2-value-guard,90074,5a3686a9694b8d8087600fb5da80209de63e678be2eae9295ee079cdfb26d69b,16,8,15,False,5130.80367,342.053578,3920.80367,1210.0,175,164,32,18,2.0469999999986612,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90077,8a93f34bf90072d0f6dc3819451a2e6530fe4a5afc64992ffde95cf50cb5a569,13,12,13,True,6200.756945,476.98130346153846,4439.756945,1761.0,251,237,68,19,1.9690000000045984,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\repo_sync\q4\iterations\iter_076_high14_probe2_value_guard\workspace\code,v443-high14-probe2-value-guard,90077,8a93f34bf90072d0f6dc3819451a2e6530fe4a5afc64992ffde95cf50cb5a569,13,12,13,True,6200.756945,476.98130346153846,4439.756945,1761.0,251,237,68,19,2.0160000000032596,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90081,14870a024fe571e97679bebd3bf56067acca39083850ba290058ea2a3274a20d,13,2,13,True,4539.583263,349.19871253846156,3355.583263,1184.0,182,173,12,18,2.0780000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\repo_sync\q4\iterations\iter_076_high14_probe2_value_guard\workspace\code,v443-high14-probe2-value-guard,90081,14870a024fe571e97679bebd3bf56067acca39083850ba290058ea2a3274a20d,13,2,13,True,4539.583263,349.19871253846156,3355.583263,1184.0,182,173,12,18,2.0780000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90086,ed29a2ac9dcc9d0a0dd0a810ccc2bb01b0ab22bf5a85a79d1779161c0d0a46c1,16,6,16,True,4980.900739,311.3062961875,3757.900739,1223.0,167,155,51,19,1.9219999999986612,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\repo_sync\q4\iterations\iter_076_high14_probe2_value_guard\workspace\code,v443-high14-probe2-value-guard,90086,ed29a2ac9dcc9d0a0dd0a810ccc2bb01b0ab22bf5a85a79d1779161c0d0a46c1,16,6,16,True,4980.900739,311.3062961875,3757.900739,1223.0,167,155,51,19,1.9219999999986612,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90090,02a1865321859559a4ff8db6a008bd70a18ca73cd8d0e64ba293296900a9b2d6,13,9,13,True,5441.843795,418.60336884615384,3927.843795,1514.0,223,205,43,21,1.7030000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\repo_sync\q4\iterations\iter_076_high14_probe2_value_guard\workspace\code,v443-high14-probe2-value-guard,90090,02a1865321859559a4ff8db6a008bd70a18ca73cd8d0e64ba293296900a9b2d6,13,9,13,True,5441.843795,418.60336884615384,3927.843795,1514.0,223,205,43,21,1.625,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90095,683c96f2c1bc779ddc62c2ccd0cf22978b5f5cde6b9a9847c3171cc468cb9ee4,13,10,12,False,5587.727558,465.64396316666665,3950.727558,1637.0,251,241,27,19,1.4839999999967404,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\repo_sync\q4\iterations\iter_076_high14_probe2_value_guard\workspace\code,v443-high14-probe2-value-guard,90095,683c96f2c1bc779ddc62c2ccd0cf22978b5f5cde6b9a9847c3171cc468cb9ee4,13,10,12,False,5587.727558,465.64396316666665,3950.727558,1637.0,251,241,27,19,1.485000000000582,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
